"","Treatment","Palatability","relative_biomass","Site","cond__","effect1__","effect2__","estimate__","se__","lower__","upper__"
"1","Control","Yes",49.0740740740741,NA,"1","Control","Yes",27.9064028031836,3.97469195807316,20.0823122835054,35.9997937918356
"2","Control","No",49.0740740740741,NA,"1","Control","No",3.073356095768,2.96706784652368,-3.08886631235056,9.56771793655755
"3","Control","Cymbopogon sp.",49.0740740740741,NA,"1","Control","Cymbopogon sp.",70.9736416540284,4.42915146805705,63.24653701769,80.63151914269
"4","CPFA","Yes",49.0740740740741,NA,"1","CPFA","Yes",25.2533508039504,2.67794473025798,19.7189247693908,30.7192498972054
"5","CPFA","No",49.0740740740741,NA,"1","CPFA","No",2.97609692853938,2.50417095961459,-1.99989993794988,8.71410428417805
"6","CPFA","Cymbopogon sp.",49.0740740740741,NA,"1","CPFA","Cymbopogon sp.",73.4709584829396,3.26315431246427,66.5590365416969,79.7206963482718
"7","CAFA","Yes",49.0740740740741,NA,"1","CAFA","Yes",96.8705607508438,1.49023577358663,93.5017256179642,99.5533203130662
"8","CAFA","No",49.0740740740741,NA,"1","CAFA","No",4.05478283445935,2.29670864706244,-0.464117017854729,9.28770795166443
"9","CAFA","Cymbopogon sp.",49.0740740740741,NA,"1","CAFA","Cymbopogon sp.",10.2204285213932,3.15500206498057,4.57122376444066,16.5560347478175
