Acre,5,1,4046 sqm,5
People,20,4,,5
Hours,24,4.8,,5
Wage,6752,1350.4,,5
,INR-211 was the MNREGA rate for 2019-20,,,
,USD in Dec 2019 = 70.40,19.18181818,,
