State,District,Habitation,Year,Plot_no,Latitude,Longitude,Fire
Andhra Pradesh,Anantapur,Eguvathoopalle,2019,3,14.02340895,78.37715773,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2019,4,14.02340795,78.37714773,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2019,5,14.02223616,78.37705503,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,1,14.029445,78.376225,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,6,14.02710395,78.37703282,No
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,7,14.02619773,78.37517981,No
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,8,14.02517376,78.37619357,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,9,14.02340895,78.37715773,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,10,14.02223716,78.37704503,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,2,14.02517376,78.37619357,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,3,14.02340895,78.37715773,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,4,14.02340795,78.37714773,Yes
Andhra Pradesh,Anantapur,Eguvathoopalle,2017,5,14.02223616,78.37705503,Yes
Andhra Pradesh,Chittoor,Penderuvaripalle,2019,7,13.80720167,78.46541,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,10,14.05221,78.32459,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,9,14.05275,78.32418,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,8,14.05355,78.32401,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,7,14.0546,78.32364,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,6,14.05535,78.32361,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,5,14.05608,78.32451,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,4,14.05642,78.32452,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,3,14.056668,78.324213,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,2,14.056938,78.32449,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2018,1,14.056882,78.324065,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,10,14.05221,78.32459,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,9,14.05275,78.32418,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,8,14.05355,78.32401,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,7,14.0546,78.32364,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,6,14.05535,78.32361,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,5,14.05608,78.32451,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,4,14.05642,78.32452,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,3,14.056668,78.324213,No
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,2,14.056938,78.32449,Yes
Andhra Pradesh,Anantapur,Reddyvaripalle,2019,1,14.056882,78.324065,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,10,13.96013,78.34969,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,9,13.96288,78.34884,Yes
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,8,13.96392,78.34953,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,6,13.964105,78.350767,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,7,13.96464,78.35156,Yes
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,5,13.96509,78.35232,Yes
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,4,13.96516,78.3534,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,3,13.96577,78.35536,Yes
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,2,13.966044,78.356235,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2018,1,13.966681,78.356638,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,10,13.96013,78.34969,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,9,13.96288,78.34884,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,8,13.96392,78.34953,Yes
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,6,13.964105,78.350767,Yes
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,7,13.96464,78.35156,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,5,13.96509,78.35232,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,4,13.96516,78.3534,Yes
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,3,13.96577,78.35536,No
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,2,13.966044,78.356235,Yes
Andhra Pradesh,Anantapur,Seelamvaripalle,2019,1,13.966681,78.356638,No
Andhra Pradesh,Anantapur,Singanivaripalle,2018,5,14.07291,78.32042,No
Andhra Pradesh,Anantapur,Singanivaripalle,2019,5,14.07291,78.32042,No
Andhra Pradesh,Anantapur,Singanivaripalle,2019,7,14.07532667,78.31935333,No
Andhra Pradesh,Chittoor,Vepalapalli,2018,10,13.83976,78.41044,No
Andhra Pradesh,Chittoor,Vepalapalli,2018,3,13.83999,78.41118,No
Andhra Pradesh,Chittoor,Vepalapalli,2018,4,13.84133,78.41128,No
Andhra Pradesh,Chittoor,Vepalapalli,2018,5,13.84299,78.4127,No
Andhra Pradesh,Chittoor,Vepalapalli,2018,8,13.84385,78.41229,Yes
Andhra Pradesh,Chittoor,Vepalapalli,2018,6,13.84571,78.41429,Yes
Andhra Pradesh,Chittoor,Vepalapalli,2018,2,13.83842,78.41123,Yes
Andhra Pradesh,Chittoor,Vepalapalli,2018,9,13.84236,78.4108,No
Andhra Pradesh,Chittoor,Vepalapalli,2018,7,13.84456,78.41318,No
Andhra Pradesh,Chittoor,Vepalapalli,2018,1,13.83816,78.41078,Yes
Andhra Pradesh,Chittoor,Vepalapalli,2019,10,13.83976,78.41044,No
Andhra Pradesh,Chittoor,Vepalapalli,2019,3,13.83999,78.41118,Yes
Andhra Pradesh,Chittoor,Vepalapalli,2019,4,13.84133,78.41128,Yes
Andhra Pradesh,Chittoor,Vepalapalli,2019,5,13.84299,78.4127,No
Andhra Pradesh,Chittoor,Vepalapalli,2019,8,13.84385,78.41229,No
Andhra Pradesh,Chittoor,Vepalapalli,2019,6,13.84571,78.41429,No
Andhra Pradesh,Chittoor,Vepalapalli,2019,2,13.83842,78.41123,No
Andhra Pradesh,Chittoor,Vepalapalli,2019,9,13.84236,78.4108,Yes
Andhra Pradesh,Chittoor,Vepalapalli,2019,7,13.84456,78.41318,Yes
Andhra Pradesh,Chittoor,Vepalapalli,2019,1,13.83816,78.41078,No
